true,pred,count,rate_of_true_queries
Swizzor.gen!I,Swizzor.gen!E,856,0.0842
Allaple.A,Obfuscator.AD,676,0.0704
Swizzor.gen!E,C2LOP.gen!g,641,0.0637
Instantaccess,Obfuscator.AD,604,0.0606
Allaple.A,Malex.gen!J,573,0.0597
Swizzor.gen!I,C2LOP.gen!g,575,0.0566
Swizzor.gen!E,Swizzor.gen!I,546,0.0542
C2LOP.P,Swizzor.gen!I,480,0.0488
C2LOP.P,Swizzor.gen!E,434,0.0441
C2LOP.P,C2LOP.gen!g,429,0.0436
C2LOP.gen!g,Swizzor.gen!E,417,0.0411
Swizzor.gen!I,C2LOP.P,337,0.0332
Allaple.A,Alueron.gen!J,272,0.0283
Swizzor.gen!I,Rbot!gen,279,0.0274
Allaple.A,Instantaccess,252,0.0262
C2LOP.gen!g,Swizzor.gen!I,251,0.0247
Swizzor.gen!E,C2LOP.P,235,0.0233
C2LOP.P,Rbot!gen,218,0.0222
Instantaccess,Skintrim.N,216,0.0217
Allaple.A,Allaple.L,195,0.0203
VB.AT,C2LOP.gen!g,183,0.0181
Lolyda.AT,Agent.FYI,188,0.018
Skintrim.N,Obfuscator.AD,177,0.0172
Lolyda.AA1,Dialplatform.B,170,0.0169
VB.AT,C2LOP.P,171,0.0169
Swizzor.gen!E,Rbot!gen,168,0.0167
Lolyda.AA1,Agent.FYI,164,0.0164
Instantaccess,Wintrim.BX,157,0.0158
Dontovo.A,Lolyda.AA2,154,0.0155
C2LOP.gen!g,C2LOP.P,157,0.0155
