family,n_queries,accuracy
Adialer.C,9960,1.0
Agent.FYI,10065,0.9941
Allaple.A,9605,0.7318
Allaple.L,9990,0.9997
Alueron.gen!J,10040,0.987
Autorun.K,9835,1.0
C2LOP.P,9840,0.725
C2LOP.gen!g,10150,0.8954
Dialplatform.B,10130,0.9951
Dontovo.A,9955,0.9661
Fakerean,9800,0.9848
Instantaccess,9960,0.8816
Lolyda.AA1,10030,0.9425
Lolyda.AA2,9745,0.9709
Lolyda.AA3,9810,0.9982
Lolyda.AT,10455,0.9632
Malex.gen!J,10070,0.9759
Obfuscator.AD,9825,0.9999
Rbot!gen,10230,0.9599
Skintrim.N,10270,0.9638
Swizzor.gen!E,10065,0.8009
Swizzor.gen!I,10165,0.712
VB.AT,10100,0.8777
Wintrim.BX,9725,0.9588
Yuner.A,10180,1.0
