true,pred,count,rate_of_true_queries
Autorun.K,Yuner.A,885,0.09
Swizzor.gen!I,Swizzor.gen!E,822,0.0809
Swizzor.gen!E,C2LOP.gen!g,809,0.0804
Yuner.A,Autorun.K,775,0.0761
C2LOP.P,Swizzor.gen!E,665,0.0676
Swizzor.gen!E,Swizzor.gen!I,588,0.0584
C2LOP.P,Swizzor.gen!I,562,0.0571
Skintrim.N,Instantaccess,566,0.0551
Swizzor.gen!I,C2LOP.gen!g,551,0.0542
C2LOP.P,C2LOP.gen!g,520,0.0528
Allaple.A,Allaple.L,492,0.0512
Allaple.A,Malex.gen!J,452,0.0471
Skintrim.N,Obfuscator.AD,436,0.0425
C2LOP.gen!g,Swizzor.gen!E,369,0.0364
Swizzor.gen!I,C2LOP.P,339,0.0333
Alueron.gen!J,Malex.gen!J,239,0.0238
Skintrim.N,Alueron.gen!J,214,0.0208
Swizzor.gen!E,C2LOP.P,209,0.0208
C2LOP.gen!g,Swizzor.gen!I,200,0.0197
Skintrim.N,Wintrim.BX,196,0.0191
Instantaccess,Obfuscator.AD,163,0.0164
VB.AT,Swizzor.gen!I,162,0.016
Skintrim.N,Malex.gen!J,153,0.0149
VB.AT,Autorun.K,145,0.0144
VB.AT,C2LOP.P,123,0.0122
Alueron.gen!J,Skintrim.N,115,0.0115
VB.AT,Swizzor.gen!E,112,0.0111
VB.AT,Yuner.A,109,0.0108
Lolyda.AA1,Lolyda.AA2,108,0.0108
C2LOP.gen!g,C2LOP.P,105,0.0103
