family,n_queries,accuracy
Adialer.C,9960,1.0
Agent.FYI,10065,0.9742
Allaple.A,9605,0.8749
Allaple.L,9990,0.994
Alueron.gen!J,10040,0.9402
Autorun.K,9835,0.91
C2LOP.P,9840,0.7873
C2LOP.gen!g,10150,0.9281
Dialplatform.B,10130,0.9995
Dontovo.A,9955,1.0
Fakerean,9800,0.9892
Instantaccess,9960,0.9829
Lolyda.AA1,10030,0.8838
Lolyda.AA2,9745,0.9813
Lolyda.AA3,9810,0.9897
Lolyda.AT,10455,0.9906
Malex.gen!J,10070,0.9642
Obfuscator.AD,9825,1.0
Rbot!gen,10230,0.9772
Skintrim.N,10270,0.836
Swizzor.gen!E,10065,0.8212
Swizzor.gen!I,10165,0.7938
VB.AT,10100,0.9203
Wintrim.BX,9725,0.9979
Yuner.A,10180,0.9239
