true,pred,count,rate_of_true_queries
Autorun.K,Yuner.A,885,0.09
Swizzor.gen!I,Swizzor.gen!E,798,0.0785
Yuner.A,Autorun.K,775,0.0761
Swizzor.gen!E,C2LOP.gen!g,645,0.0641
Skintrim.N,Obfuscator.AD,622,0.0606
C2LOP.P,Swizzor.gen!E,540,0.0549
Swizzor.gen!E,Swizzor.gen!I,546,0.0542
Allaple.A,Allaple.L,503,0.0524
Skintrim.N,Instantaccess,518,0.0504
C2LOP.P,Swizzor.gen!I,476,0.0484
Allaple.A,Malex.gen!J,427,0.0445
Swizzor.gen!I,C2LOP.gen!g,393,0.0387
C2LOP.P,C2LOP.gen!g,365,0.0371
C2LOP.gen!g,Swizzor.gen!E,356,0.0351
Alueron.gen!J,Obfuscator.AD,318,0.0317
Swizzor.gen!I,C2LOP.P,262,0.0258
Alueron.gen!J,Malex.gen!J,244,0.0243
Skintrim.N,Malex.gen!J,248,0.0241
Skintrim.N,Alueron.gen!J,235,0.0229
C2LOP.gen!g,Swizzor.gen!I,212,0.0209
Instantaccess,Obfuscator.AD,191,0.0192
Skintrim.N,Wintrim.BX,155,0.0151
Lolyda.AA1,Lolyda.AA2,135,0.0135
Swizzor.gen!I,Yuner.A,132,0.013
Lolyda.AA1,Autorun.K,130,0.013
Swizzor.gen!E,C2LOP.P,130,0.0129
Rbot!gen,Yuner.A,132,0.0129
Alueron.gen!J,Instantaccess,126,0.0125
Lolyda.AA1,Yuner.A,123,0.0123
Rbot!gen,Autorun.K,124,0.0121
