family,n_queries,accuracy
Adialer.C,9960,1.0
Agent.FYI,10065,0.9615
Allaple.A,9605,0.8481
Allaple.L,9990,0.9933
Alueron.gen!J,10040,0.9103
Autorun.K,9835,0.91
C2LOP.P,9840,0.8314
C2LOP.gen!g,10150,0.9239
Dialplatform.B,10130,0.9993
Dontovo.A,9955,1.0
Fakerean,9800,0.9778
Instantaccess,9960,0.9803
Lolyda.AA1,10030,0.8703
Lolyda.AA2,9745,0.9788
Lolyda.AA3,9810,0.9977
Lolyda.AT,10455,0.981
Malex.gen!J,10070,0.9642
Obfuscator.AD,9825,1.0
Rbot!gen,10230,0.9716
Skintrim.N,10270,0.8237
Swizzor.gen!E,10065,0.8567
Swizzor.gen!I,10165,0.818
VB.AT,10100,0.9423
Wintrim.BX,9725,0.9979
Yuner.A,10180,0.9239
