true,pred,count,rate_of_true_queries
Alueron.gen!J,Instantaccess,4304,0.1446
Allaple.A,Malex.gen!J,4157,0.1419
Swizzor.gen!I,Yuner.A,4192,0.1384
Rbot!gen,Yuner.A,3949,0.1289
Swizzor.gen!E,Yuner.A,3385,0.1137
Allaple.A,Instantaccess,3187,0.1088
C2LOP.gen!g,Adialer.C,3029,0.1014
Swizzor.gen!I,Swizzor.gen!E,3049,0.1007
C2LOP.P,C2LOP.gen!g,2807,0.0933
C2LOP.P,Adialer.C,2623,0.0872
Rbot!gen,Autorun.K,2664,0.087
Swizzor.gen!I,Autorun.K,2567,0.0848
Swizzor.gen!E,C2LOP.gen!g,2509,0.0843
VB.AT,Adialer.C,2494,0.0818
Swizzor.gen!I,C2LOP.gen!g,2466,0.0814
C2LOP.gen!g,Swizzor.gen!E,2380,0.0797
Swizzor.gen!E,Autorun.K,2356,0.0792
Swizzor.gen!E,Swizzor.gen!I,2349,0.0789
Lolyda.AA1,Lolyda.AT,2277,0.076
Alueron.gen!J,Skintrim.N,2125,0.0714
C2LOP.P,Swizzor.gen!E,2133,0.0709
Malex.gen!J,Instantaccess,2056,0.0688
Alueron.gen!J,Malex.gen!J,2004,0.0674
C2LOP.gen!g,C2LOP.P,1948,0.0652
VB.AT,C2LOP.P,1935,0.0635
C2LOP.P,Swizzor.gen!I,1837,0.0611
Swizzor.gen!I,C2LOP.P,1841,0.0608
Malex.gen!J,Allaple.A,1798,0.0601
Agent.FYI,Dontovo.A,1805,0.0601
C2LOP.gen!g,Swizzor.gen!I,1783,0.0597
