family,n_queries,accuracy
Adialer.C,30115,0.9331
Agent.FYI,30055,0.7567
Allaple.A,29305,0.5403
Allaple.L,30090,0.9525
Alueron.gen!J,29755,0.5429
Autorun.K,30065,1.0
C2LOP.P,30085,0.4891
C2LOP.gen!g,29865,0.5411
Dialplatform.B,30225,0.9749
Dontovo.A,29900,0.9441
Fakerean,29910,0.9084
Instantaccess,29845,0.9851
Lolyda.AA1,29970,0.8218
Lolyda.AA2,29550,0.7352
Lolyda.AA3,29790,0.869
Lolyda.AT,30680,0.8871
Malex.gen!J,29895,0.7764
Obfuscator.AD,30090,1.0
Rbot!gen,30625,0.5906
Skintrim.N,30065,0.8902
Swizzor.gen!E,29765,0.4588
Swizzor.gen!I,30285,0.3698
VB.AT,30475,0.6089
Wintrim.BX,29465,0.6191
Yuner.A,30130,1.0
