n_way,k_shot,stratum,mean_acc,ci95_lo,ci95_hi,n_episodes,seed_means,seed_std
5,1,natural,0.789,0.784,0.794,2500,0.7879;0.7866;0.7962;0.7842;0.7902,0.0046
5,1,hard,0.692,0.6872,0.6968,2500,0.6954;0.6938;0.6854;0.6840;0.7013,0.0072
5,1,easy,0.8111,0.8064,0.8157,2500,0.8130;0.8096;0.8055;0.8049;0.8223,0.0071
5,3,natural,0.8204,0.8159,0.8249,2500,0.8188;0.8212;0.8253;0.8230;0.8138,0.0044
5,3,hard,0.7041,0.6994,0.7088,2500,0.7034;0.6982;0.7068;0.7114;0.7006,0.0052
5,3,easy,0.8432,0.8391,0.8472,2500,0.8394;0.8472;0.8406;0.8439;0.8446,0.0032
5,5,natural,0.8051,0.8006,0.8096,2500,0.8098;0.8063;0.7970;0.8028;0.8096,0.0054
5,5,hard,0.69,0.6857,0.6943,2500,0.6930;0.6830;0.6917;0.6970;0.6853,0.0058
5,5,easy,0.8261,0.822,0.8302,2500,0.8313;0.8280;0.8221;0.8270;0.8224,0.0039
5,10,natural,0.8934,0.8897,0.8971,2500,0.8961;0.8886;0.8957;0.8901;0.8966,0.0038
5,10,hard,0.7812,0.7771,0.7852,2500,0.7802;0.7885;0.7830;0.7734;0.7807,0.0054
5,10,easy,0.9151,0.9122,0.9181,2500,0.9155;0.9177;0.9154;0.9150;0.9121,0.002
10,1,natural,0.7007,0.697,0.7044,2500,0.7019;0.7020;0.7026;0.6940;0.7028,0.0037
10,1,hard,0.6591,0.6554,0.6627,2500,0.6508;0.6620;0.6666;0.6637;0.6522,0.0071
10,1,easy,0.7341,0.7307,0.7375,2500,0.7343;0.7345;0.7268;0.7356;0.7394,0.0046
10,3,natural,0.7036,0.7001,0.7072,2500,0.7019;0.7027;0.7026;0.7063;0.7045,0.0018
10,3,hard,0.6588,0.6554,0.6623,2500,0.6588;0.6580;0.6583;0.6608;0.6583,0.0011
10,3,easy,0.7384,0.7351,0.7416,2500,0.7400;0.7402;0.7396;0.7350;0.7370,0.0023
10,5,natural,0.7234,0.7202,0.7265,2500,0.7234;0.7210;0.7230;0.7220;0.7274,0.0024
10,5,hard,0.6832,0.6802,0.6862,2500,0.6837;0.6848;0.6825;0.6774;0.6875,0.0037
10,5,easy,0.762,0.759,0.7649,2500,0.7589;0.7613;0.7652;0.7628;0.7616,0.0023
10,10,natural,0.827,0.8242,0.8299,2500,0.8292;0.8270;0.8247;0.8282;0.8261,0.0018
10,10,hard,0.7833,0.7804,0.7861,2500,0.7816;0.7841;0.7826;0.7842;0.7838,0.0011
10,10,easy,0.8617,0.8593,0.8641,2500,0.8586;0.8628;0.8620;0.8629;0.8621,0.0018
