true\pred,Adialer.C,Agent.FYI,Allaple.A,Allaple.L,Alueron.gen!J,Autorun.K,C2LOP.P,C2LOP.gen!g,Dialplatform.B,Dontovo.A,Fakerean,Instantaccess,Lolyda.AA1,Lolyda.AA2,Lolyda.AA3,Lolyda.AT,Malex.gen!J,Obfuscator.AD,Rbot!gen,Skintrim.N,Swizzor.gen!E,Swizzor.gen!I,VB.AT,Wintrim.BX,Yuner.A
Adialer.C,28760,0,0,0,1,369,38,53,0,0,0,2,0,0,0,1,0,1,14,0,62,62,9,1,742
Agent.FYI,81,22396,654,939,500,79,5,21,471,1077,273,559,116,893,110,82,1035,240,35,226,19,19,7,139,79
Allaple.A,33,607,16541,1947,1619,236,20,30,41,196,157,841,46,235,13,40,4064,103,238,1348,72,69,3,471,335
Allaple.L,0,192,576,27565,180,1,1,6,42,17,21,238,30,44,0,114,881,6,18,49,15,3,0,89,2
Alueron.gen!J,13,320,1432,798,17554,440,19,70,92,173,70,1925,26,226,0,17,2431,44,95,2534,109,59,2,787,519
Autorun.K,0,0,0,0,0,30065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2LOP.P,1325,1,9,6,19,1201,15218,2766,59,10,20,119,126,68,0,169,20,177,1330,7,1915,1777,1142,217,2384
C2LOP.gen!g,1179,2,6,8,30,1474,1679,15394,13,17,28,102,63,94,0,62,26,249,1001,28,2555,1822,601,483,2949
Dialplatform.B,10,2,3,1,0,5,50,8,29637,3,2,41,163,69,0,101,4,0,18,2,14,9,61,3,19
Dontovo.A,1,178,11,4,27,0,7,6,767,26630,7,744,514,917,2,28,10,0,2,11,5,7,17,5,0
Fakerean,7,127,141,122,99,188,12,9,55,15,27630,590,6,110,0,12,225,29,40,82,35,37,0,117,222
Instantaccess,0,0,23,29,156,0,0,2,3,9,4,29436,2,21,0,1,56,27,2,23,1,3,0,47,0
Lolyda.AA1,69,78,110,451,70,260,54,58,2994,175,31,187,21587,1451,0,960,316,0,290,33,122,123,57,64,430
Lolyda.AA2,10,163,22,28,55,98,14,30,1137,396,21,193,766,25871,0,216,44,0,101,19,64,51,7,18,226
Lolyda.AA3,36,246,61,5,83,39,0,2,0,208,280,18,1,3,28552,0,22,105,0,83,2,1,1,33,9
Lolyda.AT,163,50,24,129,11,107,109,67,1438,15,38,111,1325,323,0,25509,49,64,412,7,126,163,57,46,337
Malex.gen!J,12,153,1443,1096,709,33,17,49,54,64,59,436,20,70,0,21,24739,6,90,330,56,55,5,326,52
Obfuscator.AD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30090,0,0,0,0,0,0,0
Rbot!gen,164,1,11,18,27,836,273,370,10,3,10,24,110,117,0,88,34,1,24915,23,926,746,54,143,1721
Skintrim.N,1,16,200,39,700,150,1,15,7,5,19,231,2,48,0,1,443,0,21,27675,27,7,0,249,208
Swizzor.gen!E,810,8,20,17,55,2481,929,2176,35,5,40,89,97,85,0,69,66,91,1741,54,13434,2266,575,401,4221
Swizzor.gen!I,957,4,7,6,21,2702,1264,2095,51,20,36,144,141,137,0,131,27,112,2156,29,3112,11387,766,251,4729
VB.AT,827,6,2,3,13,798,1409,1210,65,87,17,88,214,189,2,128,18,65,609,2,1197,1301,20731,45,1449
Wintrim.BX,346,71,504,341,809,758,283,723,39,24,137,1284,19,95,31,46,1241,566,479,582,553,386,15,19171,962
Yuner.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30130
