true,pred,count,rate_of_true_queries
Swizzor.gen!I,Yuner.A,4729,0.1561
Swizzor.gen!E,Yuner.A,4221,0.1418
Allaple.A,Malex.gen!J,4064,0.1387
Swizzor.gen!I,Swizzor.gen!E,3112,0.1028
Lolyda.AA1,Dialplatform.B,2994,0.0999
C2LOP.gen!g,Yuner.A,2949,0.0987
C2LOP.P,C2LOP.gen!g,2766,0.0919
Swizzor.gen!I,Autorun.K,2702,0.0892
C2LOP.gen!g,Swizzor.gen!E,2555,0.0856
Alueron.gen!J,Skintrim.N,2534,0.0852
Swizzor.gen!E,Autorun.K,2481,0.0834
Alueron.gen!J,Malex.gen!J,2431,0.0817
C2LOP.P,Yuner.A,2384,0.0792
Swizzor.gen!E,Swizzor.gen!I,2266,0.0761
Swizzor.gen!E,C2LOP.gen!g,2176,0.0731
Swizzor.gen!I,Rbot!gen,2156,0.0712
Swizzor.gen!I,C2LOP.gen!g,2095,0.0692
Allaple.A,Allaple.L,1947,0.0664
Alueron.gen!J,Instantaccess,1925,0.0647
C2LOP.P,Swizzor.gen!E,1915,0.0637
C2LOP.gen!g,Swizzor.gen!I,1822,0.061
C2LOP.P,Swizzor.gen!I,1777,0.0591
Swizzor.gen!E,Rbot!gen,1741,0.0585
C2LOP.gen!g,C2LOP.P,1679,0.0562
Rbot!gen,Yuner.A,1721,0.0562
Allaple.A,Alueron.gen!J,1619,0.0552
C2LOP.gen!g,Autorun.K,1474,0.0494
Lolyda.AA1,Lolyda.AA2,1451,0.0484
Malex.gen!J,Allaple.A,1443,0.0483
Alueron.gen!J,Allaple.A,1432,0.0481
