family,n_queries,accuracy
Adialer.C,30115,0.955
Agent.FYI,30055,0.7452
Allaple.A,29305,0.5644
Allaple.L,30090,0.9161
Alueron.gen!J,29755,0.59
Autorun.K,30065,1.0
C2LOP.P,30085,0.5058
C2LOP.gen!g,29865,0.5155
Dialplatform.B,30225,0.9805
Dontovo.A,29900,0.8906
Fakerean,29910,0.9238
Instantaccess,29845,0.9863
Lolyda.AA1,29970,0.7203
Lolyda.AA2,29550,0.8755
Lolyda.AA3,29790,0.9584
Lolyda.AT,30680,0.8315
Malex.gen!J,29895,0.8275
Obfuscator.AD,30090,1.0
Rbot!gen,30625,0.8136
Skintrim.N,30065,0.9205
Swizzor.gen!E,29765,0.4513
Swizzor.gen!I,30285,0.376
VB.AT,30475,0.6803
Wintrim.BX,29465,0.6506
Yuner.A,30130,1.0
