n_way,k_shot,stratum,mean_acc,ci95_lo,ci95_hi,n_episodes,seed_means,seed_std
5,1,natural,0.8017,0.7968,0.8066,2500,0.7996;0.8013;0.8088;0.7983;0.8005,0.0041
5,1,hard,0.7006,0.6958,0.7054,2500,0.7078;0.7012;0.6946;0.6946;0.7048,0.0059
5,1,easy,0.823,0.8185,0.8276,2500,0.8173;0.8237;0.8137;0.8285;0.8321,0.0076
5,3,natural,0.8248,0.8202,0.8293,2500,0.8238;0.8251;0.8305;0.8274;0.8171,0.005
5,3,hard,0.7043,0.6997,0.7088,2500,0.7067;0.7035;0.7078;0.7074;0.6958,0.005
5,3,easy,0.8526,0.8487,0.8566,2500,0.8482;0.8525;0.8554;0.8506;0.8566,0.0034
5,5,natural,0.8122,0.8078,0.8166,2500,0.8130;0.8088;0.8105;0.8139;0.8149,0.0025
5,5,hard,0.6941,0.6899,0.6983,2500,0.6978;0.6895;0.6930;0.6955;0.6948,0.0031
5,5,easy,0.8394,0.8356,0.8433,2500,0.8376;0.8414;0.8294;0.8482;0.8405,0.0068
5,10,natural,0.9054,0.902,0.9087,2500,0.9060;0.9032;0.9083;0.9067;0.9026,0.0024
5,10,hard,0.7919,0.788,0.7958,2500,0.7983;0.7905;0.7915;0.7887;0.7906,0.0037
5,10,easy,0.926,0.9234,0.9286,2500,0.9247;0.9242;0.9258;0.9263;0.9291,0.0019
10,1,natural,0.7266,0.723,0.7302,2500,0.7289;0.7240;0.7276;0.7254;0.7270,0.0019
10,1,hard,0.6839,0.6804,0.6873,2500,0.6765;0.6857;0.6892;0.6888;0.6792,0.0058
10,1,easy,0.7614,0.758,0.7648,2500,0.7609;0.7600;0.7536;0.7670;0.7657,0.0053
10,3,natural,0.7267,0.7233,0.7301,2500,0.7254;0.7254;0.7268;0.7284;0.7274,0.0013
10,3,hard,0.6781,0.6747,0.6816,2500,0.6773;0.6820;0.6788;0.6785;0.6741,0.0028
10,3,easy,0.7659,0.7627,0.7691,2500,0.7707;0.7681;0.7652;0.7583;0.7670,0.0047
10,5,natural,0.7477,0.7447,0.7508,2500,0.7478;0.7435;0.7467;0.7514;0.7493,0.003
10,5,hard,0.7036,0.7006,0.7065,2500,0.7004;0.7012;0.7089;0.6998;0.7074,0.0043
10,5,easy,0.7909,0.7881,0.7936,2500,0.7917;0.7883;0.7920;0.7912;0.7911,0.0015
10,10,natural,0.8519,0.8492,0.8546,2500,0.8532;0.8518;0.8477;0.8539;0.8529,0.0025
10,10,hard,0.8062,0.8035,0.8088,2500,0.8018;0.8043;0.8082;0.8073;0.8092,0.003
10,10,easy,0.8873,0.8851,0.8894,2500,0.8854;0.8869;0.8868;0.8890;0.8882,0.0014
